Kelompok_ID,Total_Mahasiswa,HTQ_Count,HTQ_Percentage,LK_Count,PR_Count,LK_Ratio,PR_Ratio,Fakultas_Count,Jurusan_Count,Duplicate_Majors,Max_Major_Count,HTQ_Satisfied,Size_Satisfied,Gender_Satisfied,Duplication_Satisfied,Overall_Satisfied,Dominant_Fakultas,Dominant_Jurusan
1,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,4,10,3,2,True,True,False,True,False,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA ARAB
2,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,4,7,3,5,True,True,True,True,True,EKONOMI,PERBANKAN SYARI`AH
3,13,1,7.6923076923076925,7,6,0.5384615384615384,0.46153846153846156,5,9,3,3,True,True,False,True,False,HUMANIORA,BAHASA DAN SASTRA INGGRIS
4,9,1,11.11111111111111,5,4,0.5555555555555556,0.4444444444444444,5,7,1,3,True,False,False,True,False,EKONOMI,MANAJEMEN
5,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,10,2,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,TEKNIK ARSITEKTUR
6,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,5,6,5,3,True,True,True,True,True,SYARI'AH,HUKUM BISNIS SYARI'AH
7,18,1,5.555555555555555,6,12,0.3333333333333333,0.6666666666666666,6,13,3,3,True,False,True,True,False,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA INGGRIS
8,12,1,8.333333333333332,6,6,0.5,0.5,4,8,4,2,True,True,False,True,False,SYARI'AH,HUKUM BISNIS SYARI'AH
9,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,9,3,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,BIOLOGI
10,12,1,8.333333333333332,3,9,0.25,0.75,5,8,3,3,True,True,True,True,True,EKONOMI,AKUNTANSI
11,5,1,20.0,3,2,0.6,0.4,4,5,0,1,True,False,True,True,False,SYARI'AH,ILMU AL-QUR`AN DAN TAFSIR
12,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,4,11,2,2,True,True,True,True,True,SAINS DAN TEKNOLOGI,MATEMATIKA
13,8,1,12.5,5,3,0.625,0.375,4,6,2,2,True,False,False,True,False,SYARI'AH,HUKUM BISNIS SYARI'AH
14,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,4,8,3,3,True,True,True,True,True,EKONOMI,MANAJEMEN
15,15,1,6.666666666666667,8,7,0.5333333333333333,0.4666666666666667,6,10,2,5,True,False,False,True,False,HUMANIORA,BAHASA DAN SASTRA INGGRIS
16,10,1,10.0,5,5,0.5,0.5,3,5,4,3,True,False,True,True,False,SYARI'AH,AKUNTANSI
